method_group,experiment,retriever,reranker,evidence,vlm,mean_f1,f1_gt_0_5,exact_match,multimodal_t_mean_f1,multimodal_f_mean_f1,doc_hit_at_1,page_hit_at_1,latency_mean,results_dir
"Full image+text, Nemotron visual",image_text_full_308_nemotron_qwen3vl30b,nemotron_image / nemotron_image / models/nemotron/embed-vl-1b-v2,nemotron_text_image / nvidia/llama-nemotron-rerank-vl-1b-v2,layout_aware_v2 / full_page_plus_crop + text in reranker and VLM (table_text+caption+page_text+ocr),openai/qwen3-vl-30b,0.702323,0.756494,0.120130,0.720118,0.657835,0.798701,0.757377,13.644149,results/image_text_full_308_nemotron_qwen3vl30b
"Full image+text, Nemotron visual",image_text_full_308_nemotron_no_reranker_qwen3vl30b,nemotron_image / nemotron_image / models/nemotron/embed-vl-1b-v2,none / none,layout_aware_v2 / full_page_plus_crop + text in VLM only (table_text+caption+page_text+ocr),openai/qwen3-vl-30b,0.678365,0.714286,0.120130,0.702948,0.616906,0.798701,0.757377,3.426283,results/image_text_full_308_nemotron_no_reranker_qwen3vl30b
"Image+text input, Nemotron visual",image_text_input_308_nemotron_qwen3vl30b,nemotron_image / nemotron_image / models/nemotron/embed-vl-1b-v2,nemotron_vl_cross_encoder / nvidia/llama-nemotron-rerank-vl-1b-v2,layout_aware_v2 / full_page_plus_crop + selected text evidence (table_text+caption+page_text+ocr),openai/qwen3-vl-30b,0.69786,0.746753,0.116883,0.713844,0.657899,0.798701,0.757377,12.992005,results/image_text_input_308_nemotron_qwen3vl30b
Nemotron image retriever + VL reranker,multimodal_308_nemotron_image_retriever_with_reranker_qwen3vl30b,nemotron_image / nemotron_image / models/nemotron/embed-vl-1b-v2,nemotron_vl_cross_encoder / nvidia/llama-nemotron-rerank-vl-1b-v2,layout_aware_v2 / full_page_plus_crop,openai/qwen3-vl-30b,0.690225,0.75,0.107143,0.701529,0.661967,0.798701,0.757377,11.070219,results/multimodal_308_nemotron_image_retriever_with_reranker_qwen3vl30b
ColPali visual + Qwen30B + VL reranker,docbench_hybrid_bm25_tools_qwen3vl30b,colpali_colvision_multivector / vidore/colpali-v1.3-merged,nemotron_vl_cross_encoder / nvidia/llama-nemotron-rerank-vl-1b-v2,layout_aware_v2 / full_page_plus_crop,openai/qwen3-vl-30b,0.68601,0.733766,0.11039,0.697145,0.658173,0.775974,0.75082,14.879057,results/docbench_hybrid_bm25_tools_qwen3vl30b
"Image+text fusion, Nemotron visual",image_text_fusion_308_nemotron_qwen3vl30b,nemotron_image / nemotron_image / models/nemotron/embed-vl-1b-v2,nemotron_vl_cross_encoder / nvidia/llama-nemotron-rerank-vl-1b-v2,layout_aware_v2 / full_page_plus_crop,openai/qwen3-vl-30b,0.679341,0.717532,0.113636,0.693289,0.644471,0.798701,0.757377,9.412225,results/image_text_fusion_308_nemotron_qwen3vl30b
"Image+text fusion, ColPali visual",image_text_fusion_308_colpali_qwen3vl30b,colpali_colvision_multivector / colvision / vidore/colpali-v1.3-merged,nemotron_vl_cross_encoder / nvidia/llama-nemotron-rerank-vl-1b-v2,layout_aware_v2 / full_page_plus_crop,openai/qwen3-vl-30b,0.678249,0.714286,0.11039,0.690593,0.647391,0.775974,0.75082,11.808495,results/image_text_fusion_308_colpali_qwen3vl30b
"Image+text fusion, Nemotron visual",image_text_fusion_308_nemotron_no_reranker_qwen3vl30b,nemotron_image / nemotron_image / models/nemotron/embed-vl-1b-v2,none / none,layout_aware_v2 / full_page_plus_crop,openai/qwen3-vl-30b,0.657463,0.678571,0.113636,0.678573,0.604686,0.798701,0.757377,2.508049,results/image_text_fusion_308_nemotron_no_reranker_qwen3vl30b
"ColPali visual + Qwen30B, no reranker",docbench_qwen3vl30b_no_reranker,colpali_colvision_multivector / vidore/colpali-v1.3-merged,none,layout_aware_v2 / full_page_plus_crop,openai/qwen3-vl-30b,0.653931,0.678571,0.090909,0.671827,0.609192,0.775974,0.75082,6.070875,results/docbench_qwen3vl30b_no_reranker
"Nemotron image retriever, no reranker",multimodal_308_nemotron_image_retriever_qwen3vl30b,nemotron_image / nemotron_image / models/nemotron/embed-vl-1b-v2,none,layout_aware_v2 / full_page_plus_crop,openai/qwen3-vl-30b,0.647915,0.668831,0.113636,0.665482,0.603997,0.798701,0.757377,2.553544,results/multimodal_308_nemotron_image_retriever_qwen3vl30b
ColPali visual + Qwen8B + VL reranker,multimodal_308_with_reranker,colpali_colvision_multivector / vidore/colpali-v1.3-merged,nemotron_vl_cross_encoder / nvidia/llama-nemotron-rerank-vl-1b-v2,layout_aware_v2 / full_page_plus_crop,Qwen/Qwen3-VL-8B-Instruct,0.616986,0.62013,0.107143,0.639094,0.561715,0.775974,0.75082,15.292027,results/multimodal_308_with_reranker
"ColPali visual + Qwen8B, no reranker",multimodal_308_no_reranker,colpali_colvision_multivector / vidore/colpali-v1.3-merged,none,layout_aware_v2 / full_page_plus_crop,Qwen/Qwen3-VL-8B-Instruct,0.565675,0.574675,0.094156,0.591134,0.502028,0.775974,0.75082,9.925293,results/multimodal_308_no_reranker
BM25 text + text reranker,text_reranker_308_bge_large_qwen3vl30b,text_page_bm25 / text_page_bm25,text_cross_encoder / cross_encoder / BAAI/bge-reranker-large,page_text,openai/qwen3-vl-30b,0.549701,0.571429,0.081169,0.554164,0.538544,0.675325,0.691803,1.234386,results/text_reranker_308_bge_large_qwen3vl30b
BM25 text + text reranker,text_reranker_308_bge_base_qwen3vl30b,text_page_bm25 / text_page_bm25,text_cross_encoder / cross_encoder / BAAI/bge-reranker-base,page_text,openai/qwen3-vl-30b,0.542863,0.561688,0.074675,0.547666,0.530855,0.675325,0.691803,0.868903,results/text_reranker_308_bge_base_qwen3vl30b
Text evidence encoder + text reranker,text_evidence_encoder_308_bge_large_en_v1_5_bge_reranker_large_qwen3vl30b,text_encoder / text_encoder / BAAI/bge-large-en-v1.5,text_cross_encoder / cross_encoder / BAAI/bge-reranker-large,ocr+page_text+caption+table_text,openai/qwen3-vl-30b,0.53539,0.538961,0.087662,0.564552,0.462485,0.577922,0.560656,1.510213,results/text_evidence_encoder_308_bge_large_en_v1_5_bge_reranker_large_qwen3vl30b
BM25 text + text reranker,text_reranker_308_jina_qwen3vl30b,text_page_bm25 / text_page_bm25,text_cross_encoder / cross_encoder / jinaai/jina-reranker-v2-base-multilingual,page_text,openai/qwen3-vl-30b,0.530296,0.545455,0.071429,0.550123,0.480729,0.675325,0.691803,0.892695,results/text_reranker_308_jina_qwen3vl30b
BM25 text + text reranker,text_reranker_308_minilm_qwen3vl30b,text_page_bm25 / text_page_bm25,text_cross_encoder / cross_encoder / cross-encoder/ms-marco-MiniLM-L-6-v2,page_text,openai/qwen3-vl-30b,0.526504,0.538961,0.100649,0.546298,0.477019,0.675325,0.691803,0.753775,results/text_reranker_308_minilm_qwen3vl30b
Text evidence encoder + text reranker,text_evidence_encoder_308_bge_base_en_v1_5_bge_reranker_large_qwen3vl30b,text_encoder / text_encoder / BAAI/bge-base-en-v1.5,text_cross_encoder / cross_encoder / BAAI/bge-reranker-large,ocr+page_text+caption+table_text,openai/qwen3-vl-30b,0.520475,0.538961,0.090909,0.552107,0.441396,0.516234,0.580328,1.498799,results/text_evidence_encoder_308_bge_base_en_v1_5_bge_reranker_large_qwen3vl30b
"BM25 text, no reranker",text_reranker_308_no_reranker_qwen3vl30b,text_page_bm25 / text_page_bm25,none / none / none,page_text,openai/qwen3-vl-30b,0.514388,0.532468,0.090909,0.526948,0.482988,0.675325,0.691803,0.714597,results/text_reranker_308_no_reranker_qwen3vl30b
"Text evidence encoder, no reranker",text_evidence_encoder_308_bge_large_en_v1_5_no_reranker_qwen3vl30b,text_encoder / text_encoder / BAAI/bge-large-en-v1.5,none / none / none,ocr+page_text+caption+table_text,openai/qwen3-vl-30b,0.442384,0.454545,0.090909,0.467317,0.380051,0.577922,0.560656,0.995304,results/text_evidence_encoder_308_bge_large_en_v1_5_no_reranker_qwen3vl30b
